0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,(-0+0j),-0j,(-0+0j),(-0+0j),(-0+0j),(0.30901699437494723-0.9510565162951536j),(-0+0j),(-0+0j),(-0+0j),-0j,(-0+0j),(-0+0j),(-0+0j),-0j,(-0+0j),(-0+0j),0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-1.6032332233899645e-16-1j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-1+9.909098238162878e-17j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-1+9.909098238162878e-17j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,(-0+0j),-0j,(-0+0j),(-0+0j),(-0+0j),-0j,(-0+0j),(-0+0j),(-0+0j),(-0.8090169943749476-0.587785252292473j),(-0+0j),(-0+0j),(-0+0j),-0j,(-0+0j),(-0+0j),0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0.9510565162951536-0.30901699437494734j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0.3090169943749474+0.9510565162951536j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-1.5454449163323112e-16-1j),-0j,-0j,-0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,(-0+0j),-0j,(-0+0j),(-0+0j),(-0+0j),-0j,(-0+0j),(-0+0j),(-0+0j),-0j,(-0+0j),(-0+0j),-0j,(0.587785252292473-0.8090169943749476j),-0j,-0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),-0j,-0j,(0.3090169943749473-0.9510565162951536j),-0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),(-0+0j),-0j,-0j,-0j,(-0.9510565162951536-0.30901699437494734j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.8090169943749475+0.5877852522924732j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-1.0000000000000002+1.5182758250750679e-16j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j,0j,(-0+0j),0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.9510565162951536+0.30901699437494756j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.3090169943749475+0.9510565162951536j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
